iter	Logloss
0	0.6675802694
1	0.6439484357
2	0.6220416229
3	0.6015083635
4	0.582325703
5	0.5647655063
6	0.5478998766
7	0.5313408821
8	0.5172292613
9	0.5040171354
10	0.4918912916
11	0.480658869
12	0.4702622741
13	0.4605457228
14	0.4515141996
15	0.4424120986
16	0.4345583176
17	0.4273231739
18	0.4205977065
19	0.4134627259
20	0.4074471446
21	0.4019996586
22	0.3970003679
23	0.3923472845
24	0.3879333017
25	0.3839092332
26	0.3801090231
27	0.376612424
28	0.3733396637
29	0.3702945597
30	0.366603763
31	0.3637262829
32	0.3612893673
33	0.3590276391
34	0.3569014194
35	0.3549219982
36	0.3530804337
37	0.3513650467
38	0.3496919448
39	0.3481260263
40	0.3466159333
41	0.3452073074
42	0.3432626839
43	0.3421291106
44	0.3409644309
45	0.3393040704
46	0.3381038079
47	0.3370520053
48	0.3362117209
49	0.3353433503
50	0.3338417003
51	0.3330051523
52	0.3323848702
53	0.331753355
54	0.3311538495
55	0.3305788592
56	0.3301059131
57	0.3293705452
58	0.3289239502
59	0.3284507608
