iter	Passed	Remaining
0	12	18072
1	18	13756
2	38	19036
3	44	16673
4	63	18872
5	82	20615
6	88	18880
7	112	21028
8	153	25384
9	184	27472
10	214	28981
11	239	29748
12	267	30591
13	292	30995
14	306	30362
15	318	29578
16	341	29785
17	349	28753
18	355	27687
19	361	26753
20	382	26947
21	402	27051
22	424	27266
23	499	30704
24	509	30089
25	515	29246
26	531	29008
27	551	28976
28	557	28298
29	577	28277
30	588	27886
31	609	27942
32	644	28660
33	656	28321
34	667	27955
35	707	28764
36	723	28616
37	751	28910
38	761	28542
39	790	28840
40	809	28792
41	833	28934
42	845	28663
43	867	28717
44	875	28320
45	883	27913
46	896	27714
47	931	28185
48	958	28369
49	981	28449
50	1004	28528
51	1028	28637
52	1060	28960
53	1090	29200
54	1113	29243
55	1129	29135
56	1146	29033
57	1153	28670
58	1172	28643
59	1193	28649
60	1213	28636
