iter	CrossEntropy
0	0.316928535
1	0.2633508251
2	0.2497706933
3	0.2441625334
4	0.2412032635
5	0.2397512358
6	0.2358652202
7	0.2348717875
8	0.2327049437
9	0.2322930485
10	0.2313588009
11	0.2310256037
12	0.2307183514
13	0.2294279905
14	0.227786725
15	0.2277164187
16	0.2276785947
17	0.2275000891
18	0.2273449621
19	0.2266980144
20	0.2261894957
21	0.2253965123
22	0.2248202261
23	0.224636526
24	0.224554294
25	0.2242834093
26	0.2239939624
27	0.2238723945
28	0.2238274299
29	0.223324164
30	0.2232460275
31	0.2229403879
32	0.2220640165
33	0.2219669405
34	0.221901037
35	0.2218608513
36	0.2218124347
37	0.2217033214
38	0.2212489477
39	0.2210855335
40	0.2207482336
41	0.2205009333
42	0.2204848719
43	0.2204228504
44	0.2202754774
45	0.2202504169
46	0.2202109649
47	0.2201531027
48	0.2201077024
49	0.2200689203
50	0.220007271
51	0.2197295496
52	0.2196873547
53	0.2195608842
54	0.2195313582
55	0.2195003151
56	0.219263769
57	0.2191166731
58	0.2190444863
59	0.2190121283
60	0.2188110048
61	0.2187331324
62	0.2186736409
63	0.2186279099
64	0.2185590528
65	0.2182383897
66	0.2182248284
67	0.2182006082
68	0.2181475744
69	0.2181248548
70	0.2180852483
71	0.2180773929
72	0.2180312491
73	0.2180044722
74	0.217861884
75	0.2178345088
76	0.217819065
77	0.217742533
78	0.2177107393
79	0.2176258984
80	0.2175802968
81	0.2174344354
82	0.2174107922
83	0.2173860515
84	0.2173781144
85	0.2173555093
86	0.2173321128
87	0.2173182214
88	0.2173074385
89	0.2172057852
90	0.2171645135
91	0.2171390152
92	0.2171240215
93	0.2170985458
94	0.2170701208
95	0.2170444977
96	0.2170295843
97	0.2170262688
98	0.2170174294
99	0.2169107613
100	0.2168129324
101	0.2168026099
102	0.216792713
103	0.2167676748
104	0.216721596
105	0.2166344649
106	0.2165789745
107	0.2165212884
108	0.2164997173
109	0.2164936637
110	0.2164818133
111	0.2164692305
112	0.2164664732
113	0.2164443577
114	0.2164305515
115	0.216397684
116	0.2163681241
117	0.216334677
118	0.2163172895
119	0.2162915989
120	0.2162148609
121	0.2161126507
122	0.2161035815
123	0.2161007102
124	0.216097401
125	0.2160631203
126	0.2160558452
127	0.216053742
128	0.2160405695
129	0.2160294682
130	0.215937218
131	0.2159124341
132	0.2158865964
133	0.2157500234
134	0.2157428729
135	0.2157173425
136	0.2157084258
137	0.215649276
138	0.2156038484
139	0.2155559015
140	0.2155238068
141	0.2155146015
142	0.2155062521
143	0.2154892724
144	0.2154615442
145	0.2154264767
146	0.2154187937
147	0.2154069385
148	0.2153826714
149	0.2153789372
150	0.2153750275
151	0.2153726366
152	0.2153610312
153	0.2153554373
154	0.2153323047
155	0.2153311355
156	0.215283754
157	0.2152510096
158	0.2152178357
159	0.2152091967
160	0.2151992859
161	0.2151933013
162	0.2151861468
163	0.2151751014
164	0.2151274417
165	0.2150980791
166	0.2150964875
167	0.2150816348
168	0.2150492323
169	0.2150420626
170	0.2150340609
171	0.2150295253
172	0.2149641301
173	0.2149453827
174	0.2148808844
175	0.2148764687
176	0.2148732144
177	0.2148535051
178	0.2148366661
179	0.214803208
180	0.2147909336
181	0.2147869009
182	0.2147814487
183	0.2147791588
184	0.2147746677
185	0.2147724948
186	0.214769362
187	0.2147585925
188	0.2147407655
189	0.2147374315
190	0.2147346965
191	0.2147076486
192	0.2146955874
193	0.2146898939
194	0.2146879622
195	0.21468324
196	0.2146797733
197	0.2146771667
198	0.2146720126
199	0.2146447912
200	0.2146367423
201	0.2146168304
202	0.2146091393
203	0.2145312054
204	0.2145288679
205	0.2145102325
206	0.2144742032
207	0.2144695461
208	0.2144594496
209	0.2144339601
210	0.2144239127
211	0.214325249
212	0.2142997177
213	0.2142778908
214	0.2141973221
215	0.2141822359
216	0.214145214
217	0.2140711801
218	0.2140635636
219	0.2140262534
220	0.214024605
221	0.2140136789
222	0.2140078042
223	0.2139890887
224	0.213974447
225	0.2139715014
226	0.213925185
227	0.2139123572
228	0.2139077078
229	0.2138918343
230	0.213859916
231	0.2138569107
232	0.2138528199
233	0.2138359593
234	0.2138279554
235	0.2138142352
236	0.2138072144
237	0.213790924
238	0.2137863304
239	0.213785207
240	0.2137763623
241	0.2137675783
242	0.2137557294
243	0.2137485619
244	0.213745055
245	0.2137369611
246	0.2137344082
247	0.2137305694
248	0.2137268163
249	0.213720476
250	0.2137069591
251	0.2136994905
252	0.2136875198
253	0.213671941
254	0.2136698228
255	0.2136683677
256	0.2136647032
257	0.2136604546
258	0.2136533234
259	0.2136407127
260	0.2135982014
261	0.2135954761
262	0.2135839381
263	0.2135817113
264	0.2135654061
265	0.2135596114
266	0.2135524791
267	0.2135370962
268	0.2135271463
269	0.2135196934
270	0.2135156149
271	0.2135029028
272	0.2135003601
273	0.2134954245
274	0.2134879113
275	0.213479696
276	0.2134524905
277	0.213447408
278	0.2134418909
279	0.213425811
280	0.2134234531
281	0.2134184088
282	0.2134121433
283	0.2133784209
284	0.2133764194
285	0.2133662429
286	0.2133625189
287	0.2133419764
288	0.2133395105
289	0.2133340739
290	0.2133287058
291	0.2132872371
292	0.2132766874
293	0.2132289098
294	0.2132243982
295	0.213196828
296	0.2131553719
297	0.2131470392
298	0.2130885949
299	0.2130515247
300	0.2130448641
301	0.21303847
302	0.2130177092
303	0.2129929988
304	0.2129880695
305	0.2129496718
306	0.212931749
307	0.2129272781
308	0.212914918
309	0.21290983
310	0.2129062945
311	0.2128930526
312	0.2128813421
313	0.2128804847
314	0.2128765198
315	0.2128744953
316	0.2128591566
317	0.2127891866
318	0.2127868958
319	0.2127740218
320	0.2127706141
321	0.2127688493
322	0.2127670539
323	0.2127648102
324	0.2127631626
325	0.2127519196
326	0.212749678
327	0.2127462262
328	0.2127442761
329	0.2127421464
330	0.212740966
331	0.2127287862
332	0.2127036835
333	0.2127020631
334	0.212692494
335	0.2126867131
336	0.212683734
337	0.2126707319
338	0.2126564602
339	0.21264004
340	0.2126370132
341	0.2126266264
342	0.2126218736
343	0.2126139971
344	0.2125844211
345	0.2125809082
346	0.2125747598
347	0.2125680327
348	0.2125676732
349	0.2125143951
350	0.2124461558
351	0.2124349263
352	0.2123656295
353	0.2123517593
354	0.2123493529
355	0.2123493421
356	0.2123428837
357	0.2123403654
358	0.2123312321
359	0.2123271255
360	0.2123031107
361	0.2122875474
362	0.2122847096
363	0.2122478623
364	0.2122437861
365	0.212241278
366	0.2122093679
367	0.2121970162
368	0.212185092
369	0.212177099
370	0.2121750429
371	0.2121677993
372	0.212158271
373	0.2121523711
374	0.2121404995
375	0.2121377399
376	0.2121359886
377	0.2121266928
378	0.2121235843
379	0.2121206491
380	0.2121179461
381	0.212115848
382	0.2121152833
383	0.2121122805
384	0.2121094172
385	0.2121060147
386	0.2120904244
387	0.2120822196
388	0.2120762117
389	0.2120274996
390	0.2119500414
391	0.211915375
392	0.2119109437
393	0.2118967279
394	0.2118823865
395	0.2118617779
396	0.2118280856
397	0.2118168646
398	0.2118089147
399	0.2117658712
400	0.2117601638
401	0.2117379308
402	0.2117035058
403	0.2117019951
404	0.2116974407
405	0.2116900684
406	0.2116849644
407	0.2116759512
408	0.2116723486
409	0.2116673287
410	0.2116423106
411	0.2116194596
412	0.2116083729
413	0.2116020768
414	0.2115989704
415	0.211591441
416	0.2115898193
417	0.2115853277
418	0.2115788323
419	0.2115763313
420	0.2115372242
421	0.2115267604
422	0.2115237318
423	0.2115202083
424	0.2115183186
425	0.2115140603
426	0.2114568802
427	0.2114364679
428	0.2114328323
429	0.2114161722
430	0.2114129637
431	0.2114088373
432	0.2114017239
433	0.211373515
434	0.2113300856
435	0.2113212991
436	0.2113069995
437	0.2112682423
438	0.2112632585
439	0.21125931
440	0.2112580391
441	0.2112557966
442	0.2112533024
443	0.2112493799
444	0.21124704
445	0.2112442791
446	0.2112372869
447	0.2112344822
448	0.211230598
449	0.2112274899
450	0.211220158
451	0.2112069505
452	0.211201149
453	0.2112006149
454	0.2111992867
455	0.2111956708
456	0.2111906611
457	0.2111891523
458	0.2111851998
459	0.2110595447
460	0.2110544168
461	0.2110477385
462	0.2110296506
463	0.2110251939
464	0.211011438
465	0.2110057392
466	0.2110008105
467	0.2109955261
468	0.2109850159
469	0.2109812461
470	0.2109749343
471	0.2109746259
472	0.2109713642
473	0.2109426444
474	0.2109374372
475	0.2109311675
476	0.2109291703
477	0.2109275185
478	0.2108803781
479	0.2108563202
480	0.2108502035
481	0.2108283207
482	0.2108265616
483	0.2108088648
484	0.2107975852
485	0.2107909942
486	0.2107603949
487	0.2107566319
488	0.2107531161
489	0.2107501919
490	0.2107131387
491	0.210710857
492	0.2107086125
493	0.2107019913
494	0.2106999184
495	0.2106974612
496	0.2106952128
497	0.2106896198
498	0.2106849958
499	0.2106792272
500	0.2106446863
501	0.2106378079
502	0.210636944
503	0.2106297072
504	0.2106226975
505	0.2105322165
506	0.2105010564
507	0.2104875394
508	0.2104830932
509	0.2104799097
510	0.2104754953
511	0.2104577971
512	0.210452137
513	0.2104491684
514	0.2104453837
515	0.2104313129
516	0.2104291086
517	0.2104241692
518	0.2104221668
519	0.2103990384
520	0.2103899444
521	0.2103818449
522	0.2103476666
523	0.2103455481
524	0.2103403103
525	0.2103237998
526	0.2102993119
527	0.2102941296
528	0.2102926845
529	0.2102864314
530	0.2102797534
531	0.2102723319
532	0.2102667681
533	0.2102650599
534	0.2102566266
535	0.2102520549
536	0.2102462982
537	0.2102416637
538	0.2102403739
539	0.2102341575
540	0.2102276175
541	0.2102248988
542	0.2102227245
543	0.210221351
544	0.210187311
545	0.2101842907
546	0.2101771125
547	0.2101740188
548	0.2101727775
549	0.2101678457
550	0.2101593147
551	0.210145528
552	0.2101327991
553	0.2100956952
554	0.2100937032
555	0.2100827408
556	0.2100810212
557	0.2100746184
558	0.2100694645
559	0.210057083
560	0.2100505101
561	0.2100461469
562	0.2100437368
563	0.2100272708
564	0.2099959732
565	0.2099786467
566	0.2099736239
567	0.2099726021
568	0.2099701487
569	0.2099601706
570	0.2099426069
571	0.2099237751
572	0.2099206365
573	0.2099138659
574	0.2099120148
575	0.2098508471
576	0.2098259269
577	0.2098208873
578	0.2097851493
579	0.2097800614
580	0.2097560382
581	0.2097527872
582	0.2097513062
583	0.2097475095
584	0.2097363024
585	0.2096801066
586	0.2096749502
587	0.2096674167
588	0.2096570367
589	0.2096524196
590	0.2096463506
591	0.2096229501
592	0.2096202634
593	0.2096171372
594	0.2096078378
595	0.2095967388
596	0.2095960724
597	0.2095893612
598	0.2095875157
599	0.2095771945
600	0.2095736323
601	0.2095598928
602	0.2095556081
603	0.2095509541
604	0.2095462503
605	0.2095420124
606	0.2095382296
607	0.2095301567
608	0.2095167161
609	0.2095138732
610	0.2095086146
611	0.2095047133
612	0.2095031208
613	0.2094989001
614	0.2094865886
615	0.2094417931
616	0.2094398498
617	0.2094391418
618	0.2094240733
619	0.2094206075
620	0.2094148245
621	0.2094137026
622	0.2094062973
623	0.2093975577
624	0.2093910664
625	0.2093877632
626	0.2093868371
627	0.2093801866
628	0.2093664636
629	0.2093647089
630	0.2093640611
631	0.2093557999
632	0.2093532489
633	0.2093488667
634	0.2093381614
635	0.2093333108
636	0.2092982029
637	0.2092940339
638	0.2092911191
639	0.2092804827
640	0.2092739884
641	0.2092602837
642	0.2092424484
643	0.2092265753
644	0.2092153812
645	0.2091990066
646	0.2091921979
647	0.2091876942
648	0.2091837874
649	0.2091828335
650	0.2091795742
651	0.2091786359
652	0.2091694259
653	0.2091668848
654	0.2091618466
655	0.2091591177
656	0.2091552598
657	0.2091523474
658	0.2091430133
659	0.2091399373
660	0.209117823
661	0.209111804
662	0.2091088004
663	0.2091053321
