iter	Passed	Remaining
0	15	23485
1	23	17937
2	57	28460
3	95	35880
4	127	37973
5	160	39936
6	194	41422
7	223	41731
8	259	43018
9	295	44018
10	328	44494
11	364	45224
12	375	42900
13	400	42457
14	440	43603
15	452	41954
16	486	42420
17	516	42537
18	531	41446
19	563	41691
20	596	42006
21	615	41380
22	643	41324
23	682	41952
24	717	42348
25	751	42630
26	790	43133
27	821	43177
28	845	42864
29	886	43453
30	939	44498
31	958	43989
32	1001	44532
33	1039	44822
34	1079	45166
35	1102	44849
36	1136	44946
37	1175	45219
38	1187	44491
39	1225	44744
40	1237	44039
41	1271	44135
42	1282	43453
43	1294	42834
44	1326	42887
45	1338	42319
46	1371	42402
47	1402	42438
48	1428	42309
49	1452	42122
50	1479	42042
51	1486	41405
52	1513	41334
53	1544	41347
54	1586	41680
55	1617	41712
56	1640	41529
57	1658	41240
58	1692	41348
59	1712	41102
60	1748	41243
61	1776	41212
62	1800	41059
63	1841	41322
64	1854	40944
65	1872	40688
66	1881	40233
67	1906	40146
68	1934	40115
69	1942	39680
70	1950	39251
71	1976	39197
72	1988	38862
73	2009	38717
74	2033	38636
75	2076	38903
76	2099	38807
77	2111	38492
78	2134	38395
79	2172	38554
80	2195	38457
81	2215	38320
82	2238	38207
83	2257	38050
84	2276	37902
85	2287	37610
86	2308	37488
87	2313	37123
88	2348	37240
89	2369	37114
90	2388	36987
91	2408	36865
92	2418	36595
93	2439	36489
94	2451	36259
95	2461	36006
96	2468	35700
97	2473	35388
98	2517	35624
99	2544	35619
100	2574	35656
101	2585	35431
102	2606	35345
103	2627	35273
104	2640	35076
105	2661	34997
106	2676	34847
107	2697	34773
108	2713	34633
109	2719	34364
110	2740	34293
111	2763	34251
112	2797	34332
113	2826	34361
114	2853	34366
115	2878	34342
116	2885	34113
117	2910	34092
118	2922	33910
119	2942	33834
120	2961	33754
121	2981	33675
122	2996	33547
123	3011	33418
124	3032	33358
125	3042	33175
126	3061	33096
127	3080	33018
128	3101	32957
129	3121	32893
130	3154	32968
131	3175	32913
132	3199	32883
133	3219	32815
134	3252	32884
135	3285	32953
136	3322	33055
137	3350	33071
138	3371	33013
139	3392	32957
140	3409	32857
141	3429	32796
142	3435	32597
143	3457	32556
144	3486	32582
145	3502	32478
146	3514	32347
147	3534	32292
148	3554	32228
149	3574	32172
150	3595	32121
151	3614	32053
152	3634	31995
153	3653	31930
154	3668	31829
155	3688	31780
156	3715	31785
157	3741	31780
158	3768	31784
159	3795	31788
160	3818	31757
161	3825	31598
162	3837	31474
163	3859	31436
164	3866	31287
165	3883	31211
166	3911	31218
167	3943	31266
168	3969	31263
169	3993	31243
170	4010	31170
171	4030	31121
172	4050	31069
173	4071	31030
174	4091	30982
175	4114	30950
176	4120	30796
177	4131	30682
178	4145	30596
179	4156	30477
180	4176	30438
181	4182	30288
182	4201	30235
183	4221	30190
