iter	CrossEntropy
0	0.6845023397
1	0.6761457166
2	0.6679428766
3	0.6599536674
4	0.6521310745
5	0.6445344489
6	0.6370572428
7	0.6297471174
8	0.62264321
9	0.6157751571
10	0.6089970332
11	0.6024044256
12	0.5959921128
13	0.5897175779
14	0.5835227519
15	0.5775612664
16	0.5717498003
17	0.5660511806
18	0.5605078043
19	0.5550386125
20	0.549758562
21	0.54461205
22	0.5389225655
23	0.5338082069
24	0.5289441953
25	0.5242528087
26	0.5196024897
27	0.5150958765
28	0.5107771687
29	0.5065066726
30	0.5023131532
31	0.498287958
32	0.4943142587
33	0.4904668862
34	0.4866906755
35	0.4824462627
36	0.4788095249
37	0.4748733618
38	0.4714945247
39	0.4681809119
40	0.4649624253
41	0.4618077284
42	0.4587415725
43	0.4557489382
44	0.4527958667
45	0.4499453001
46	0.4471695373
47	0.4444357018
48	0.4413215473
49	0.4386126587
50	0.436073886
51	0.4336139824
52	0.4312119183
53	0.4288587918
54	0.4265624765
55	0.4243215321
56	0.422147367
57	0.4199951538
58	0.4178821231
59	0.4158587216
60	0.413889825
61	0.411921195
62	0.4100214654
63	0.4081324356
64	0.406331431
65	0.4045701135
66	0.4028529607
67	0.4011410386
68	0.3994872845
69	0.3978884714
70	0.3963271436
71	0.3944819761
72	0.3929812861
73	0.3915185501
74	0.3900968318
75	0.3886873573
76	0.38732419
77	0.3860012491
78	0.3847167664
79	0.3833865599
80	0.382159015
81	0.3809493032
82	0.3797771966
83	0.3785665558
84	0.3774193032
85	0.3763174903
86	0.3752260499
87	0.3741809657
88	0.3731283322
89	0.3720627336
90	0.3709939843
91	0.37003815
92	0.3691084951
93	0.3681874054
94	0.3672967006
95	0.3664141708
96	0.3655668043
97	0.3647387517
98	0.3638755128
99	0.3630760257
100	0.3622539082
101	0.3614979794
102	0.360714757
103	0.3599765099
104	0.359271576
105	0.3584526749
106	0.3577762184
107	0.3570117006
108	0.3563501944
109	0.3557226869
110	0.3550933006
111	0.3541939493
112	0.353597976
113	0.3529702667
114	0.3524029892
115	0.3518380398
116	0.3513043374
117	0.3505971749
118	0.3500804664
119	0.3494028134
120	0.3488900277
121	0.3484028306
122	0.347936287
123	0.3474786663
124	0.3469887728
125	0.3465484551
126	0.3461156338
127	0.3456989763
128	0.3452888855
129	0.3448788159
130	0.3444716388
131	0.3440631855
132	0.3436800858
133	0.343263304
134	0.3426542422
135	0.3422896313
136	0.3419380888
137	0.3413594065
138	0.341030006
139	0.3406802286
140	0.3403516078
141	0.3400223494
142	0.3397267503
143	0.3392407636
144	0.338948693
145	0.338671182
146	0.3384009099
147	0.3380831489
148	0.3377990621
149	0.3375135955
150	0.3372520516
151	0.3370031977
152	0.3367535397
153	0.3364877842
154	0.3360460979
155	0.3355722637
156	0.3352152004
157	0.3348732596
158	0.3346424588
159	0.3342409036
160	0.3338044252
161	0.333614594
162	0.3334277807
163	0.3332419438
164	0.3330640948
165	0.3328888902
166	0.3327128537
167	0.3325263381
168	0.3323063487
169	0.3321280377
170	0.3317320602
171	0.3315160646
172	0.3311760634
173	0.3309844215
174	0.3308025853
175	0.3305994128
176	0.3304641883
177	0.3301214744
178	0.3299820224
179	0.3298483456
180	0.3296603239
181	0.3295398128
182	0.329411013
183	0.3292598753
