iter	CrossEntropy
0	0.6845762483
1	0.6758848006
2	0.6677164969
3	0.6597725009
4	0.6519904752
5	0.6443942604
6	0.6368755
7	0.6296372257
8	0.6223876112
9	0.6154428337
10	0.6086734084
11	0.6016166866
12	0.5951780129
13	0.5889273496
14	0.5828241599
15	0.5768123275
16	0.5709990389
17	0.5653253525
18	0.5597717337
19	0.5543359194
20	0.5490654378
21	0.5438570663
22	0.5388042242
23	0.5338807465
24	0.529113526
25	0.5244443314
26	0.5198815742
27	0.5153640446
28	0.5110071346
29	0.5067725275
30	0.5025996636
31	0.4985560179
32	0.4945284096
33	0.4906884804
34	0.486940997
35	0.4832822007
36	0.4797110629
37	0.4762081791
38	0.4728333399
39	0.4695145281
40	0.4662868552
41	0.4631248825
42	0.4600484433
43	0.4569590151
44	0.4540196465
45	0.4511506952
46	0.4483504524
47	0.4455859562
48	0.442911689
49	0.4403027424
50	0.4377617655
51	0.4352436452
52	0.4324484651
53	0.4300883797
54	0.4277155615
55	0.4254627282
56	0.4232333239
57	0.4210905091
58	0.4189460806
59	0.4169041351
60	0.4148845315
61	0.4128590836
62	0.4109331284
63	0.4090652701
64	0.4072401287
65	0.4054736413
66	0.4037462437
67	0.4020454181
68	0.4004064216
69	0.3987805533
70	0.3971935026
71	0.3956597212
72	0.3941618477
73	0.3927079347
74	0.3912612749
75	0.3895794595
76	0.3882011411
77	0.3868558679
78	0.3851551123
79	0.383823747
80	0.3825864727
81	0.3813781058
82	0.3801945264
83	0.3790465728
84	0.3779119081
85	0.3767705211
86	0.3756326329
87	0.3745175668
88	0.3731444891
89	0.3718498591
90	0.3708607749
91	0.36991142
92	0.3689693054
93	0.3680630979
94	0.3671700898
95	0.3662971627
96	0.3654516925
97	0.3646171598
98	0.3636612754
99	0.3628179922
100	0.3620477257
101	0.3612684272
102	0.3605198349
103	0.3597990192
104	0.3590996987
105	0.3584074393
106	0.3577291806
107	0.3570753826
108	0.3561585771
109	0.3555331138
110	0.3548624297
111	0.3542651085
112	0.3536811637
113	0.3529501375
114	0.3523921693
115	0.3518181794
116	0.351243107
117	0.3507136265
118	0.3499079777
119	0.349398586
120	0.3488879274
121	0.3484131746
122	0.347933164
123	0.3474670482
124	0.3470131717
125	0.3465758011
126	0.3461434692
127	0.3457251646
128	0.3453146695
129	0.3449150987
130	0.3445258814
131	0.34414698
132	0.3437513454
133	0.3431659483
134	0.3428125634
135	0.34229166
136	0.341954275
137	0.3416242862
138	0.3412949388
139	0.340964806
140	0.3406141251
141	0.3403122312
142	0.3400165359
143	0.339710034
144	0.3391433883
145	0.3388652723
146	0.338506584
147	0.3382418702
148	0.3379847751
149	0.3377096507
150	0.3374529233
151	0.3372122638
152	0.336946408
153	0.3367161135
154	0.3364907995
155	0.3362414259
156	0.3359317925
157	0.3356805291
158	0.3354078496
159	0.3352063971
160	0.3350026561
161	0.3347989909
162	0.3343588722
163	0.3341626291
164	0.3339829415
165	0.3337868833
166	0.3335601871
167	0.3333210854
168	0.3331467294
169	0.3329645921
170	0.3327800561
171	0.3326021596
172	0.3324515026
173	0.332242742
174	0.3318543364
175	0.3317141921
176	0.3315764997
177	0.3312221304
178	0.3310914299
179	0.3307964328
