iter	Passed	Remaining
0	17	26946
1	40	30602
2	64	31971
3	85	31966
4	106	31744
5	112	27914
6	133	28520
7	139	25970
8	159	26392
9	194	28930
10	218	29643
11	250	31087
12	271	31063
13	291	30965
14	298	29565
15	317	29420
16	322	28160
17	328	27062
18	348	27200
19	368	27270
20	387	27306
21	407	27349
22	438	28164
23	457	28133
24	476	28135
25	487	27636
26	502	27410
27	523	27513
28	552	28034
29	563	27611
30	588	27905
31	616	28295
32	645	28711
33	653	28194
34	662	27716
35	686	27910
36	703	27800
37	736	28333
38	782	29311
39	793	28962
40	818	29112
41	824	28620
42	838	28395
43	868	28744
44	880	28456
45	892	28197
46	901	27881
47	932	28208
48	1007	29824
49	1037	30091
50	1074	30518
51	1110	30913
52	1150	31400
53	1163	31148
54	1177	30936
55	1194	30793
56	1225	31016
57	1238	30781
58	1258	30728
59	1265	30362
60	1312	30953
61	1354	31410
62	1384	31590
63	1433	32163
64	1485	32802
65	1510	32810
66	1516	32437
67	1540	32449
68	1565	32475
69	1581	32311
70	1602	32261
71	1615	32031
72	1626	31785
73	1661	32026
74	1695	32205
75	1733	32488
76	1772	32750
77	1804	32889
78	1848	33247
79	1881	33389
80	1903	33351
81	1918	33178
82	1933	33001
83	1963	33102
84	2002	33338
85	2041	33560
86	2074	33685
87	2107	33818
88	2135	33862
89	2167	33958
90	2203	34123
91	2215	33914
92	2251	34067
93	2276	34055
94	2295	33949
95	2321	33953
96	2334	33770
97	2370	33918
98	2411	34120
99	2446	34245
100	2458	34060
101	2491	34143
102	2509	34041
103	2542	34133
104	2598	34517
105	2633	34635
106	2673	34807
107	2712	34964
108	2747	35065
109	2761	34894
110	2799	35035
111	2812	34856
112	2824	34662
113	2855	34712
114	2871	34588
115	2900	34608
116	2951	34883
117	2987	34990
118	3016	35002
119	3049	35071
120	3083	35138
121	3103	35049
122	3145	35211
123	3168	35161
124	3194	35144
125	3217	35089
126	3243	35064
127	3272	35077
128	3299	35071
129	3329	35086
130	3346	34974
131	3362	34846
132	3388	34827
133	3424	34908
134	3434	34721
135	3462	34730
136	3473	34555
137	3482	34367
138	3540	34663
139	3567	34651
140	3583	34543
141	3599	34427
142	3625	34405
143	3653	34399
144	3675	34349
145	3704	34356
146	3732	34355
147	3748	34243
148	3756	34057
149	3791	34119
150	3804	33986
151	3812	33812
152	3842	33830
153	3853	33682
154	3862	33518
155	3892	33531
156	3920	33539
157	3947	33527
158	3976	33536
159	3985	33381
160	4018	33419
161	4046	33420
162	4075	33429
163	4105	33444
164	4116	33303
165	4158	33414
166	4195	33488
167	4226	33506
168	4249	33468
169	4328	33865
170	4353	33833
171	4367	33722
172	4375	33562
173	4400	33531
174	4425	33504
175	4436	33371
176	4450	33264
177	4483	33298
178	4490	33138
179	4515	33116
